fc_destination_code,proxy,uvac_destination,number_of_nights,offset
FLR,US,FLR,3,187
FLR,US,FLR,3,191
FLR,US,FLR,3,195
FLR,US,FLR,3,226
FLR,US,FLR,3,257
FLR,US,FLR,3,288
FLR,US,FLR,3,319
FLR,US,FLR,3,350
FLR,US,FLR,3,381
GCM,US,GCM,6,7
GCM,US,GCM,6,13
GCM,US,GCM,6,19
GCM,US,GCM,6,25
GCM,US,GCM,6,31
GCM,US,GCM,6,37
GCM,US,GCM,6,43
GCM,US,GCM,6,49
GCM,US,GCM,6,55
GCM,US,GCM,6,61
GCM,US,GCM,6,67
GCM,US,GCM,6,73
GCM,US,GCM,6,79
GCM,US,GCM,6,85
GCM,US,GCM,6,91
GCM,US,GCM,6,97
GCM,US,GCM,6,103
GCM,US,GCM,6,109
GCM,US,GCM,6,115
GCM,US,GCM,6,121
GCM,US,GCM,6,127
GCM,US,GCM,6,133
GCM,US,GCM,6,139
GCM,US,GCM,6,145
GCM,US,GCM,6,151
GCM,US,GCM,6,157
GCM,US,GCM,6,163
GCM,US,GCM,6,169
GCM,US,GCM,6,175
GCM,US,GCM,6,181
GCM,US,GCM,6,187
GCM,US,GCM,6,193
GCM,US,GCM,6,199
GCM,US,GCM,6,205
GCM,US,GCM,6,211
GCM,US,GCM,6,217
GCM,US,GCM,6,223
GCM,US,GCM,6,229
GCM,US,GCM,6,235
GCM,US,GCM,6,241
GCM,US,GCM,6,247
GCM,US,GCM,6,253
GCM,US,GCM,6,259
GCM,US,GCM,6,265
GCM,US,GCM,6,271
GCM,US,GCM,6,277
GCM,US,GCM,6,283
GCM,US,GCM,6,289
GCM,US,GCM,6,295
GCM,US,GCM,6,301
GCM,US,GCM,6,307
GCM,US,GCM,6,313
GCM,US,GCM,6,319
GCM,US,GCM,6,325
GCM,US,GCM,6,331
GCM,US,GCM,6,337
GCM,US,GCM,6,343
GCM,US,GCM,6,349
GCM,US,GCM,6,355
GCM,US,GCM,6,361
GCM,US,GCM,6,367
GCM,US,GCM,6,373
GGT,US,GGT,6,7
GGT,US,GGT,6,13
GGT,US,GGT,6,19
GGT,US,GGT,6,25
GGT,US,GGT,6,31
GGT,US,GGT,6,37
GGT,US,GGT,6,43
GGT,US,GGT,6,49
GGT,US,GGT,6,55
GGT,US,GGT,6,61
GGT,US,GGT,6,67
GGT,US,GGT,6,73
GGT,US,GGT,6,79
GGT,US,GGT,6,85
GGT,US,GGT,6,91
GGT,US,GGT,6,97
GGT,US,GGT,6,103
GGT,US,GGT,6,109
GGT,US,GGT,6,115
GGT,US,GGT,6,121
GGT,US,GGT,6,127
GGT,US,GGT,6,133
GGT,US,GGT,6,139
GGT,US,GGT,6,145
GGT,US,GGT,6,151
GGT,US,GGT,6,157
GGT,US,GGT,6,163
GGT,US,GGT,6,169
GGT,US,GGT,6,175
GGT,US,GGT,6,181
GGT,US,GGT,6,187
GGT,US,GGT,6,193
GGT,US,GGT,6,199
GGT,US,GGT,6,205
GGT,US,GGT,6,211
GGT,US,GGT,6,217
GGT,US,GGT,6,223
GGT,US,GGT,6,229
GGT,US,GGT,6,235
GGT,US,GGT,6,241
GGT,US,GGT,6,247
GGT,US,GGT,6,253
GGT,US,GGT,6,259
GGT,US,GGT,6,265
GGT,US,GGT,6,271
GGT,US,GGT,6,277
GGT,US,GGT,6,283
GGT,US,GGT,6,289
GGT,US,GGT,6,295
GGT,US,GGT,6,301
GGT,US,GGT,6,307
GGT,US,GGT,6,313
GGT,US,GGT,6,319
GGT,US,GGT,6,325
GGT,US,GGT,6,331
GGT,US,GGT,6,337
GGT,US,GGT,6,343
GGT,US,GGT,6,349
GGT,US,GGT,6,355
GGT,US,GGT,6,361
GGT,US,GGT,6,367
GGT,US,GGT,6,373
HNL,US,HNL,4,7
HNL,US,HNL,4,11
HNL,US,HNL,4,15
HNL,US,HNL,4,19
HNL,US,HNL,4,23
HNL,US,HNL,4,27
HNL,US,HNL,4,31
HNL,US,HNL,4,35
HNL,US,HNL,4,39
HNL,US,HNL,4,43
HNL,US,HNL,4,47
HNL,US,HNL,4,51
HNL,US,HNL,4,55
HNL,US,HNL,4,59
HNL,US,HNL,4,63
HNL,US,HNL,4,67
HNL,US,HNL,4,71
HNL,US,HNL,4,75
HNL,US,HNL,4,79
HNL,US,HNL,4,83
HNL,US,HNL,4,87
HNL,US,HNL,4,91
HNL,US,HNL,4,95
HNL,US,HNL,4,99
HNL,US,HNL,4,103
HNL,US,HNL,4,107
HNL,US,HNL,4,111
HNL,US,HNL,4,115
HNL,US,HNL,4,119
HNL,US,HNL,4,123
HNL,US,HNL,4,127
HNL,US,HNL,4,131
HNL,US,HNL,4,135
HNL,US,HNL,4,139
HNL,US,HNL,4,143
HNL,US,HNL,4,147
HNL,US,HNL,4,151
HNL,US,HNL,4,155
HNL,US,HNL,4,159
HNL,US,HNL,4,163
HNL,US,HNL,4,167
HNL,US,HNL,4,171
HNL,US,HNL,4,175
HNL,US,HNL,4,179
HNL,US,HNL,4,183
HNL,US,HNL,4,187
HNL,US,HNL,4,191
HNL,US,HNL,4,195
HNL,US,HNL,4,200
HNL,US,HNL,4,205
HNL,US,HNL,4,210
HNL,US,HNL,4,215
HNL,US,HNL,4,220
HNL,US,HNL,4,230
HNL,US,HNL,4,240
HNL,US,HNL,4,250
HNL,US,HNL,4,260
HNL,US,HNL,4,266
HNL,US,HNL,4,272
HNL,US,HNL,4,278
HNL,US,HNL,4,284
HNL,US,HNL,4,316
HNL,US,HNL,4,346
HNL,US,HNL,4,378
JSC,US,JSC,6,7
JSC,US,JSC,6,13
JSC,US,JSC,6,19
JSC,US,JSC,6,25
JSC,US,JSC,6,31
JSC,US,JSC,6,37
JSC,US,JSC,6,55
